id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_value,occupancy_percent,price_group
37181275,1275081,f,West Colfax,39.7354,-105.04831,Entire townhouse,Entire home/apt,4,2.5,2.0,153.0,255,39015.0,4.84,100.0,<=300
37780480,10560907,t,West Colfax,39.74271,-105.0414,Entire townhouse,Entire home/apt,6,2.5,2.0,183.0,255,46665.0,4.92,100.0,<=300
38041125,4057234,f,West Colfax,39.7399,-105.03775,Entire home,Entire home/apt,4,1.0,2.0,217.0,238,51646.0,4.94,93.33333333333333,<=300
38521249,6498749,t,Skyland,39.7603,-104.95684,Entire guesthouse,Entire home/apt,2,1.0,2.0,136.0,255,34680.0,4.94,100.0,<=300
39653065,71974473,t,Five Points,39.76089,-104.9806,Entire rental unit,Entire home/apt,4,1.0,1.0,129.0,255,32895.0,4.84,100.0,<=300
39775364,21178787,f,Five Points,39.75225,-104.98486,Entire home,Entire home/apt,12,3.0,4.0,252.0,147,37044.0,4.59,57.647058823529406,<=300
39870100,307026675,f,Chaffee Park,39.784,-105.01528,Entire bungalow,Entire home/apt,4,1.0,2.0,154.0,232,35728.0,4.85,90.98039215686275,<=300
40255025,270246212,f,Berkeley,39.77817,-105.03626,Entire guest suite,Entire home/apt,2,1.0,1.0,118.0,255,30090.0,4.91,100.0,<=300
40376405,248759624,t,College View - South Platte,39.66192,-105.01863,Entire home,Entire home/apt,3,1.0,1.0,209.0,232,48488.0,4.94,90.98039215686275,<=300
41318528,52273751,t,Lincoln Park,39.73226,-105.00146,Entire home,Entire home/apt,5,2.5,2.0,197.0,255,50235.0,4.88,100.0,<=300
41347370,65145576,t,Jefferson Park,39.75129,-105.01777,Entire home,Entire home/apt,9,3.5,3.0,256.0,255,65280.0,4.95,100.0,<=300
41353091,9759896,t,Berkeley,39.77465,-105.0331,Entire bungalow,Entire home/apt,6,2.5,3.0,217.0,161,34937.0,4.96,63.13725490196078,<=300
41451474,219524979,f,Highland,39.7611,-105.01438,Entire rental unit,Entire home/apt,2,1.0,0.0,136.0,255,34680.0,4.45,100.0,<=300
41976040,219524979,f,Highland,39.76277,-105.00564,Entire rental unit,Entire home/apt,2,1.0,0.0,177.0,255,45135.0,4.52,100.0,<=300
41976075,219524979,f,Highland,39.76271,-105.00601,Entire rental unit,Entire home/apt,6,1.0,2.0,211.0,255,53805.0,4.41,100.0,<=300
42046990,92058278,f,Washington Virginia Vale,39.71091,-104.92111,Entire home,Entire home/apt,8,2.0,3.0,185.0,255,47175.0,4.71,100.0,<=300
42064645,219524979,f,Highland,39.7617,-105.00394,Entire rental unit,Entire home/apt,4,1.0,1.0,176.0,255,44880.0,4.49,100.0,<=300
42095197,88175647,t,Washington Park,39.71265,-104.97272,Entire guesthouse,Entire home/apt,2,1.0,1.0,130.0,255,33150.0,4.96,100.0,<=300
42503979,12645276,t,Athmar Park,39.7025,-105.01892,Entire home,Entire home/apt,6,3.0,3.0,260.0,255,66300.0,4.78,100.0,<=300
43228185,88041812,f,Barnum West,39.71958,-105.05228,Entire home,Entire home/apt,10,2.0,5.0,230.0,174,40020.0,4.73,68.23529411764706,<=300
43487070,346796342,t,West Colfax,39.73556,-105.03873,Entire townhouse,Entire home/apt,4,2.5,2.0,195.0,255,49725.0,4.8,100.0,<=300
43567835,48873476,f,Five Points,39.75314,-104.99087,Private room in hostel,Private room,4,2.0,1.0,170.0,232,39440.0,4.45,90.98039215686275,<=300
43818286,10591452,t,Speer,39.71124267578125,-104.97742462158205,Entire home,Entire home/apt,4,1.0,1.0,192.0,255,48960.0,4.92,100.0,<=300
44211714,193108199,f,Cheesman Park,39.73506,-104.97151,Entire rental unit,Entire home/apt,4,1.0,2.0,125.0,240,30000.0,4.71,94.11764705882352,<=300
