id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_value,occupancy_percent,price_group
1097957407491533191,555953425,t,Five Points,39.74973311864677,-104.98409742385128,Private room in bed and breakfast,Private room,2,1.0,1.0,283.0,255,72165.0,4.94,100.0,<=300
1097966491444866402,555953425,t,Five Points,39.747639446642296,-104.9839954134512,Private room in bed and breakfast,Private room,2,1.0,1.0,199.0,255,50745.0,4.93,100.0,<=300
1100388124421809947,259447864,t,Washington Park West,39.693587891903526,-104.9784678753816,Entire home,Entire home/apt,6,3.0,3.0,250.0,252,63000.0,4.94,98.82352941176471,<=300
1105425907434672982,555953425,t,Five Points,39.74954,-104.98391,Private room in bed and breakfast,Private room,2,1.0,1.0,275.0,255,70125.0,4.98,100.0,<=300
1105912882020906616,219524979,f,Jefferson Park,39.75551541499648,-105.01800368487892,Entire rental unit,Entire home/apt,6,2.0,2.0,210.0,255,53550.0,4.74,100.0,<=300
1116693631248366908,219524979,f,Jefferson Park,39.75409,-105.01867,Entire rental unit,Entire home/apt,6,2.0,2.0,220.0,255,56100.0,4.68,100.0,<=300
1120366782889429809,568917739,t,Montbello,39.79382760819488,-104.84111045605204,Entire home,Entire home/apt,10,2.0,4.0,206.0,255,52530.0,4.63,100.0,<=300
1142795852323229963,23786377,t,DIA,39.81315,-104.76545,Entire home,Entire home/apt,10,2.5,4.0,220.0,252,55440.0,4.92,98.82352941176471,<=300
1156577446608389020,47122591,t,Northeast Park Hill,39.76315,-104.93819,Entire rental unit,Entire home/apt,4,1.0,2.0,236.0,255,60180.0,4.87,100.0,<=300
1171627532716474913,67514634,t,Sloan Lake,39.75314,-105.03167,Entire townhouse,Entire home/apt,9,3.0,4.0,266.0,245,65170.0,4.79,96.07843137254902,<=300
1178320462811837376,362003189,t,Washington Park West,39.70306092898925,-104.98377277180433,Entire home,Entire home/apt,2,1.0,1.0,266.0,203,53998.0,4.88,79.6078431372549,<=300
1181474289588717763,142217271,t,Whittier,39.75458968255169,-104.96874274107478,Entire home,Entire home/apt,6,2.0,3.0,269.0,255,68595.0,4.72,100.0,<=300
1242114234135063324,128764865,t,Baker,39.72172,-104.99341,Entire home,Entire home/apt,7,2.0,3.0,290.0,203,58870.0,4.94,79.6078431372549,<=300
1244829500885939425,52684848,t,West Colfax,39.7428964,-105.0265246,Entire home,Entire home/apt,8,3.0,3.0,274.0,255,69870.0,4.75,100.0,<=300
1245140149464806303,10767672,t,Sloan Lake,39.7502515,-105.033756,Entire home,Entire home/apt,6,2.0,3.0,268.0,203,54404.0,5.0,79.6078431372549,<=300
1247352696872298553,652454016,t,DIA,39.8182513,-104.7675792,Entire home,Entire home/apt,8,2.5,4.0,215.0,255,54825.0,4.87,100.0,<=300
1260253746889181264,400502493,t,Berkeley,39.775908508890105,-105.05026127428756,Entire home,Entire home/apt,6,2.5,3.0,263.0,245,64435.0,4.91,96.07843137254902,<=300
1277815222962466697,209814804,t,Union Station,39.75142057976274,-104.99639325241462,Entire home,Entire home/apt,4,1.0,2.0,271.0,255,69105.0,4.73,100.0,<=300
1283296412140578111,439006626,t,Skyland,39.7615922,-104.9569782,Entire home,Entire home/apt,8,2.0,3.0,202.0,255,51510.0,4.83,100.0,<=300
1290832236205340965,497879757,t,Cherry Creek,39.7218409,-104.9525968,Entire home,Entire home/apt,8,3.5,5.0,203.0,255,51765.0,4.96,100.0,<=300
1307618028284960682,171330600,t,Country Club,39.72407,-104.97159,Entire home,Entire home/apt,10,2.5,3.0,254.0,255,64770.0,4.97,100.0,<=300
1328475600209427526,673651772,f,Highland,39.76849,-104.99945,Entire townhouse,Entire home/apt,6,2.5,2.0,291.0,255,74205.0,4.85,100.0,<=300
1346436234679572700,1989602,t,Five Points,39.75922,-104.98225,Entire home,Entire home/apt,6,2.0,3.0,292.0,208,60736.0,4.88,81.56862745098039,<=300
1426235094871131440,72164908,t,Cheesman Park,39.73852403728888,-104.96910014461596,Entire home,Entire home/apt,10,2.5,5.0,282.0,232,65424.0,4.75,90.98039215686275,<=300
1428288590203279095,360675682,t,Globeville,39.78725,-104.9842177,Entire home,Entire home/apt,8,2.0,3.0,206.0,252,51912.0,4.92,98.82352941176471,<=300
